Remote,Booth,stop_id.2013,Station.2013,Line.2013,Division.2013
R338,N194,H09,BEACH 36 ST,A,IND
R358,N195,H10,BEACH 25 ST,A,IND
R285,N196,H11,FAR ROCKAWAY,A,IND
R315,N202,D12,155 ST,BD,IND
R195,N203,414,161 ST-YANKEE,BD4,IND
R195,N204,414,161 ST-YANKEE,BD4,IND
R195,N205,414,161 ST-YANKEE,BD4,IND
R104,N206,D10,167 ST,BD,IND
R104,N207,D10,167 ST,BD,IND
R443,N208,D09,170 ST,BD,IND
R443,N209,D09,170 ST,BD,IND
R253,N210,D08,174-175 ST,BD,IND
R253,N212,D08,174-175 ST,BD,IND
R154,N213,D07,TREMONT AVE,BD,IND
R154,N214,D07,TREMONT AVE,BD,IND
R237,N215,D06,182-183 ST,BD,IND
R112,N217,D05,FORDHAM ROAD,BD,IND
R112,N218,D05,FORDHAM ROAD,BD,IND
R155,N220,D04,KINGSBRIDGE RD,BD,IND
R155,N221,D04,KINGSBRIDGE RD,BD,IND
R156,N222,D03,BEDFORD PARK BL,BD,IND
R156,N223,D03,BEDFORD PARK BL,BD,IND
R157,N224,D01,NORWOOD-205 ST,D,IND
R157,N225,D01,NORWOOD-205 ST,D,IND
R113,N300,D14,7 AVE-53 ST,BDE,IND
R113,N301,D14,7 AVE-53 ST,BDE,IND
R015,N303,F12,5 AVE-53 ST,EM,IND
R015,N304,F12,5 AVE-53 ST,EM,IND
R017,N305,F11,LEXINGTON-53 ST,EM6,IND
R016,N305A,F11,LEXINGTON-53 ST,EM6,IND
R017,N306,F11,LEXINGTON-53 ST,EM6,IND
R359,N307,F09,COURT SQ-23 ST,EMG,IND
R140,N309A,G21,QUEENS PLAZA,EMR,IND
R140,N310,G21,QUEENS PLAZA,EMR,IND
R339,N311,H09,36 ST,MR,IND
R339,N312,H09,36 ST,MR,IND
R238,N314,G19,STEINWAY ST,MR,IND
R238,N315,G19,STEINWAY ST,MR,IND
R267,N316,G18,46 ST,MR,IND
R267,N316A,G18,46 ST,MR,IND
R267,N317,G18,46 ST,MR,IND
R298,N318,G16,NORTHERN BLVD,MR,IND
R298,N319,G16,NORTHERN BLVD,MR,IND
R340,N322,G15,65 ST,MR,IND
R018,N323,G14,ROOSEVELT AVE,EFMR7,IND
R018,N324,G14,ROOSEVELT AVE,EFMR7,IND
R218,N325A,G13,ELMHURST AVE,MR,IND
R254,N327,G12,GRAND AV-NEWTON,MR,IND
R201,N329,G11,WOODHAVEN BLVD,MR,IND
R201,N329A,G11,WOODHAVEN BLVD,MR,IND
R202,N330B,G10,63 DR-REGO PARK,MR,IND
R202,N330C,G10,63 DR-REGO PARK,MR,IND
R219,N331,G09,67 AVE,MR,IND
R219,N332,G09,67 AVE,MR,IND
R141,N333,G08,FOREST HILLS-71,EFMR,IND
R141,N333A,G08,FOREST HILLS-71,EFMR,IND
R141,N333B,G08,FOREST HILLS-71,EFMR,IND
R341,N334B,F07,75 AVE,EF,IND
R158,N335,F06,UNION TPK-KEW G,EF,IND
R158,N336,F06,UNION TPK-KEW G,EF,IND
R255,N337,F05,VAN WYCK BLVD,EF,IND
R128,N338,G06,SUTPHIN BLVD,F,IND
R128,N338B,G06,SUTPHIN BLVD,F,IND
R114,N339,F03,PARSONS BLVD,F,IND
R114,N339A,F03,PARSONS BLVD,F,IND
R115,N340,F02,169 ST,F,IND
R115,N340A,F02,169 ST,F,IND
R019,N342,F01,JAMAICA-179 ST,F,IND
R019,N343,F01,JAMAICA-179 ST,F,IND
R359,N400,G22,COURT SQ,EMG,IND
R359,N400A,G22,COURT SQ,EMG,IND
R360,N401,G24,VAN ALSTON-21ST,G,IND
R239,N403,G26,GREENPOINT AVE,G,IND
R239,N405,G26,GREENPOINT AVE,G,IND
R256,N408A,G28,NASSAU AV,G,IND
R268,N409,G29,METROPOLITAN AV,GL,IND
R299,N412,G30,BROADWAY,G,IND
R316,N414,G31,FLUSHING AVE,G,IND
R316,N414A,G31,FLUSHING AVE,G,IND
R286,N415,G32,MYRTLE-WILLOUGH,G,IND
R286,N416,G32,MYRTLE-WILLOUGH,G,IND
R269,N417,G33,BEDFORD/NOSTRAN,G,IND
R269,N418,G33,BEDFORD/NOSTRAN,G,IND
R287,N419,G34,CLASSON AVE,G,IND
R317,N420B,G35,CLINTON-WASH AV,G,IND
R318,N422,G36,FULTON ST,G,IND
R020,N500,D15,47-50 ST-ROCK,BDFM,IND
R020,N501,D15,47-50 ST-ROCK,BDFM,IND
R020,N501A,D15,47-50 ST-ROCK,BDFM,IND
R021,N502,D16,42 ST-BRYANT PK,BDFM7,IND
R021,N503,D16,42 ST-BRYANT PK,BDFM7,IND
R021,N504,D16,42 ST-BRYANT PK,BDFM7,IND
R022,N505,R17,34 ST-HERALD SQ,BDFMNQR,IND
R022,N506,R17,34 ST-HERALD SQ,BDFMNQR,IND
R023,N507,R17,34 ST-HERALD SQ,BDFMNQR,IND
R453,N508,D18,23 ST-6 AVE,FM,IND
R203,N509,D18,23 ST-6 AVE,FM,IND
R163,N510,D19,14 ST-6 AVE,FLM123,IND
R163,N511,D19,14 ST-6 AVE,FLM123,IND
R163,N512,D19,14 ST-6 AVE,FLM123,IND
R163,N513,D19,14 ST-6 AVE,FLM123,IND
R461,N519,D21,BROADWAY/LAFAY,BDFQ6,IND
R461,N519A,D21,BROADWAY/LAFAY,BDFQ6,IND
R240,N520,D22,GRAND ST,BD,IND
R300,N521,F14,2 AVE,F,IND
R300,N523,F14,2 AVE,F,IND
R142,N525,F15,DELANCEY ST,FJMZ,IND
R142,N526,F15,DELANCEY ST,FJMZ,IND
R257,N528,F16,EAST BROADWAY,F,IND
R257,N529,F16,EAST BROADWAY,F,IND
R301,N530,F18,YORK ST,F,IND
R129,N531,236,BERGEN ST,FG,IND
R129,N532,236,BERGEN ST,FG,IND
R129,N533,236,BERGEN ST,FG,IND
R220,N534,F21,CARROLL ST,FG,IND
R220,N535,F21,CARROLL ST,FG,IND
R270,N536,F22,SMITH-9 ST,FG,IND
R258,N537,F23,4 AVE,DFGMNR,IND
R288,N539A,F24,7 AV-PARK SLOPE,FG,IND
R241,N541,F25,15 ST-PROSPECT,FG,IND
R241,N542,F25,15 ST-PROSPECT,FG,IND
R289,N543,F26,FT HAMILTON PKY,FG,IND
R289,N544,F26,FT HAMILTON PKY,FG,IND
R204,N545,F27,CHURCH AVE,FG,IND
R204,N546,F27,CHURCH AVE,FG,IND
R420,N547,F29,DITMAS AVE,F,IND
R420,N548,F29,DITMAS AVE,F,IND
R242,N549,F30,18 AVE,F,IND
R242,N550,F30,18 AVE,F,IND
R421,N551,F31,AVE I,F,IND
R422,N553,F32,22 AVE-BAY PKY,F,IND
R423,N554,F33,AVE N,F,IND
R423,N555,F33,AVE N,F,IND
R424,N556,F34,AVE P,F,IND
R130,N557,F35,KINGS HIGHWAY,F,IND
R130,N558,F35,KINGS HIGHWAY,F,IND
R425,N559,F36,AVE U,F,IND
R271,N561,F38,AVE X,F,IND
R426,N562,F39,NEPTUNE AVE,F,IND
R302,N600,B10,57 ST,F,IND
R319,N601,B08,LEXINGTON AVE,F,IND
R259,N602,B06,ROOSEVELT IS,F,IND
R303,N603,B04,21 ST,F,IND
R342,N604,G07,JAMAICA-VAN WYC,E,IND
R024,N605,F04,SUTPHIN BLVD,EJZ,IND
R025,N606,G05,JAMAICA CENTER,EJZ,IND
R025,N607,G05,JAMAICA CENTER,EJZ,IND
R548,PTH09,133,CHRISTOPHER ST,1,PTH
R545,PTH11,132,14TH STREET,1,PTH
R001,R101S,142,SOUTH FERRY,R1,IRT
R304,R102,139,RECTOR ST,1,IRT
R304,R103,139,RECTOR ST,1,IRT
R305,R106,138,CORTLANDT ST,1,IRT
R305,R107,138,CORTLANDT ST,1,IRT
R305,R108,138,CORTLANDT ST,1,IRT
R305,R109,138,CORTLANDT ST,1,IRT
R027,R110,230,WALL ST,23,IRT
R027,R111,230,WALL ST,23,IRT
R027,R112,230,WALL ST,23,IRT
R027,R112A,230,WALL ST,23,IRT
R028,R113,A38,FULTON ST,2345ACJZ,IRT
R028,R113A,A38,FULTON ST,2345ACJZ,IRT
R028,R114,A38,FULTON ST,2345ACJZ,IRT
R029,R115,228,PARK PLACE,23ACE,IRT
R030,R116,137,CHAMBERS ST,123,IRT
R343,R117,136,FRANKLIN ST,1,IRT
R343,R118,136,FRANKLIN ST,1,IRT
R320,R119,639,CANAL ST,1,IRT
R320,R120,639,CANAL ST,1,IRT
R290,R121,134,HOUSTON ST,1,IRT
R290,R122,134,HOUSTON ST,1,IRT
R290,R123,134,HOUSTON ST,1,IRT
R290,R124,134,HOUSTON ST,1,IRT
R189,R125,133,CHRISTOPHER ST,1,IRT
R189,R126,133,CHRISTOPHER ST,1,IRT
R105,R127,132,14 ST,123FLM,IRT
R105,R128,132,14 ST,123FLM,IRT
R321,R129,131,18 ST,1,IRT
R321,R130,131,18 ST,1,IRT
R190,R131,130,23 ST,1,IRT
R190,R132,130,23 ST,1,IRT
R272,R133,129,28 ST,1,IRT
R272,R134,129,28 ST,1,IRT
R031,R135,128,34 ST-PENN STA,123,IRT
R031,R137,128,34 ST-PENN STA,123,IRT
R293,R138,128,34 ST-PENN STA,123ACE,IRT
R031,R139,128,34 ST-PENN STA,123,IRT
R031,R141,128,34 ST-PENN STA,123,IRT
R293,R142,128,34 ST-PENN STA,123ACE,IRT
R032,R143,127,42 ST-TIMES SQ,ACENQRS1237,IRT
R032,R145,127,42 ST-TIMES SQ,1237ACENQRS,IRT
R032,R146,127,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R147,127,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R148,127,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R150,127,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R151,127,42 ST-TIMES SQ,1237ACENQRS,IRT
R033,R153,127,42 ST-TIMES SQ,1237ACENQRS,IRT
R116,R154,126,50 ST,1,IRT
R116,R155,126,50 ST,1,IRT
R084,R158,125,59 ST-COLUMBUS,1ABCD,IRT
R164,R159,124,66 ST-LINCOLN,1,IRT
R164,R160,124,66 ST-LINCOLN,1,IRT
R164,R160A,124,66 ST-LINCOLN,1,IRT
R452,R161A,123,72 ST,123,IRT
R452,R161B,123,72 ST,123,IRT
R166,R162,122,79 ST,1,IRT
R166,R163,122,79 ST,1,IRT
R167,R164,121,86 ST,1,IRT
R167,R165,121,86 ST,1,IRT
R167,R166,121,86 ST,1,IRT
R168,R168,120,96 ST,123,IRT
R168,R168A,120,96 ST,123,IRT
R191,R170,119,103 ST,1,IRT
R192,R171,118,110 ST-CATHEDRL,1,IRT
R192,R172,118,110 ST-CATHEDRL,1,IRT
R159,R173,117,116 ST-COLUMBIA,1,IRT
R034,R174,116,125 ST,1,IRT
R169,R175,115,137 ST-CITY COL,1,IRT
R169,R176,115,137 ST-CITY COL,1,IRT
R273,R177,D13,145 ST,1,IRT
R273,R178,D13,145 ST,1,IRT
R193,R179,113,157 ST,1,IRT
R193,R180,113,157 ST,1,IRT
R035,R182,112,168 ST-BROADWAY,1AC,IRT
R260,R183,111,181 ST,1,IRT
R274,R185,110,191 ST,1,IRT
R036,R186,109,DYCKMAN ST,1,IRT
R037,R188,108,207 ST,1,IRT
R038,R190,107,215 ST,1,IRT
R039,R192,106,MARBLE HILL-225,1,IRT
R040,R194,104,231 ST,1,IRT
